consulta,tipo_consulta,tiempo_segundos,descripcion
Promedio por sensor,Agregación,0.0039,Requiere procesamiento en memoria (no nativo en Cassandra)
Lecturas por hora,Agregación temporal,0.005,Transformación + agregación fuera de Cassandra
Conteo por alerta,Agregación simple,0.001,No soportado directamente sin índices
Promedio por tipo,Agregación categórica,0.001,Requiere procesamiento en cliente
Eventos críticos,Filtro,0.001,Consulta posible pero ineficiente sin índice
